expected_value,P27487_DPP4_shap,Q08378_GOLGA3_shap,P0DJI9_SAA2_shap,P14555_PLA2G2A_shap,Q14CX7_NAA25_shap
-0.29230494559461,0.3112409321079916,-0.06617795907919588,0.1092829439661391,0.66977436560022,0.10217143416336252
-0.29230494559461,1.0751098426648955,2.2374016386526767,0.17577867318018495,0.6825532816848026,0.7052112049554361
-0.29230494559461,0.1458289250290021,-1.0929698081151036,0.4079143158373971,0.002098817052809118,1.0121545265787306
-0.29230494559461,0.4826863355202504,2.9388247970771197,0.6783231379592615,1.7691172968389122,0.49100097412767857
-0.29230494559461,0.36791269360981044,2.5837643356448092,-0.22979181268780616,-1.5157697889502773,2.7405939750541966
-0.29230494559461,-0.007843623268866319,-0.5527989635028839,-0.033113871867318616,1.6707412832774273,-0.7085143224925677
-0.29230494559461,-0.8637524725068454,-0.22866302194002422,0.36082383354862024,-0.05045493959875354,0.7100808617326166
-0.29230494559461,-0.24058213692753044,-0.8147401866161976,-1.0977478300643924,-0.0716400597789782,-0.2851129104014958
-0.29230494559461,0.2633253517729456,0.6832287330371857,-0.154388879373914,1.3995889330453792,0.113046809893573
-0.29230494559461,0.8902392827577075,0.3939263367755549,-0.059295850556422496,0.20270917451437753,-0.25360453008767647
-0.29230494559461,-0.269657308200896,0.38548394113862805,-0.3607130116883227,-0.10724676759171493,-0.7681243020028805
-0.29230494559461,0.2562823340348134,-0.3766604499524259,0.9109910259761596,1.6820416952160955,-0.31553082316465936
-0.29230494559461,-0.4694125729844618,-1.1897042850205164,0.8214220868840008,1.7565417828769874,-0.2200768802873698
-0.29230494559461,-1.0549142235803077,-0.10825295530268486,-0.0843589388417614,0.2567229551954953,-0.28581376100721884
-0.29230494559461,0.20552244181410717,-0.9379665773804124,0.5046407406234031,-0.323384849066734,-0.5214376021567886
-0.29230494559461,-1.0549142235803077,1.2209676598291583,0.16514219743367642,-1.7684019555914585,-0.05253171627860423
-0.29230494559461,0.08019102636757232,0.18074870337760043,0.02448211562735403,0.9854732138211474,-0.6550913980546427
