feature,coefficient,abs_coefficient
P14555_PLA2G2A,-1.5375173043907786,1.5375173043907786
Q08378_GOLGA3,-1.1795319435930738,1.1795319435930738
Q14CX7_NAA25,-0.6700096613955195,0.6700096613955195
P0DJI9_SAA2,-0.6106807662824276,0.6106807662824276
P27487_DPP4,0.5618724945556064,0.5618724945556064
