feature,coefficient,coefficient_abs
P27487_DPP4,0.011485947604095607,0.011485947604095607
Q14CX7_NAA25,-0.0286122840793004,0.0286122840793004
Q08378_GOLGA3,-0.035353880008004795,0.035353880008004795
P0DJI9_SAA2,-0.04644770933588123,0.04644770933588123
P14555_PLA2G2A,-0.055621625322468275,0.055621625322468275
