fpr,tpr,threshold,auc,set
0.0,0.0,inf,0.8923719958202717,train
0.0,0.034482758620689655,0.997689,0.8923719958202717,train
0.0,0.4827586206896552,0.769931,0.8923719958202717,train
0.030303030303030304,0.4827586206896552,0.724101,0.8923719958202717,train
0.030303030303030304,0.5172413793103449,0.712856,0.8923719958202717,train
0.06060606060606061,0.5172413793103449,0.707168,0.8923719958202717,train
0.06060606060606061,0.7241379310344828,0.652514,0.8923719958202717,train
0.12121212121212122,0.7241379310344828,0.580177,0.8923719958202717,train
0.12121212121212122,0.8275862068965517,0.519032,0.8923719958202717,train
0.18181818181818182,0.8275862068965517,0.517999,0.8923719958202717,train
0.18181818181818182,0.8620689655172413,0.495688,0.8923719958202717,train
0.2727272727272727,0.8620689655172413,0.459117,0.8923719958202717,train
0.2727272727272727,0.896551724137931,0.455898,0.8923719958202717,train
0.5454545454545454,0.896551724137931,0.195279,0.8923719958202717,train
0.5454545454545454,0.9310344827586207,0.17237,0.8923719958202717,train
0.6363636363636364,0.9310344827586207,0.144051,0.8923719958202717,train
0.6363636363636364,0.9655172413793104,0.130712,0.8923719958202717,train
0.7272727272727273,0.9655172413793104,0.071291,0.8923719958202717,train
0.7272727272727273,1.0,0.068544,0.8923719958202717,train
1.0,1.0,7e-06,0.8923719958202717,train
