fpr,tpr,threshold,auc,set
0.0,0.0,inf,0.8941463414634145,train
0.0,0.024390243902439025,0.806578,0.8941463414634145,train
0.0,0.36585365853658536,0.684318,0.8941463414634145,train
0.02,0.36585365853658536,0.672793,0.8941463414634145,train
0.02,0.5853658536585366,0.624984,0.8941463414634145,train
0.08,0.5853658536585366,0.599562,0.8941463414634145,train
0.08,0.6097560975609756,0.599192,0.8941463414634145,train
0.1,0.6097560975609756,0.582722,0.8941463414634145,train
0.1,0.6341463414634146,0.580081,0.8941463414634145,train
0.12,0.6341463414634146,0.578622,0.8941463414634145,train
0.12,0.6829268292682927,0.576218,0.8941463414634145,train
0.16,0.6829268292682927,0.569225,0.8941463414634145,train
0.16,0.7073170731707317,0.55828,0.8941463414634145,train
0.18,0.7073170731707317,0.538561,0.8941463414634145,train
0.18,0.7317073170731707,0.532078,0.8941463414634145,train
0.2,0.7317073170731707,0.526907,0.8941463414634145,train
0.2,0.7560975609756098,0.526284,0.8941463414634145,train
0.22,0.7560975609756098,0.522024,0.8941463414634145,train
0.22,0.8536585365853658,0.480384,0.8941463414634145,train
0.26,0.8536585365853658,0.434575,0.8941463414634145,train
0.26,0.9024390243902439,0.419603,0.8941463414634145,train
0.28,0.9024390243902439,0.405978,0.8941463414634145,train
0.28,0.926829268292683,0.405461,0.8941463414634145,train
0.3,0.926829268292683,0.403321,0.8941463414634145,train
0.3,0.9512195121951219,0.38476,0.8941463414634145,train
0.52,0.9512195121951219,0.317256,0.8941463414634145,train
0.52,0.975609756097561,0.300343,0.8941463414634145,train
0.7,0.975609756097561,0.218983,0.8941463414634145,train
0.7,1.0,0.218417,0.8941463414634145,train
1.0,1.0,0.015978,0.8941463414634145,train
