expected_value,P02741_CRP_shap,P02748_C9_shap,P0DJI9_SAA2_shap,P14555_PLA2G2A_shap,P49356_FNTB_shap,P49747_COMP_shap,P55290_CDH13_shap,Q9HCL0_PCDH18_shap
-0.2930995341696291,-0.61940042681769,-0.5569032106489479,-0.6607322719616165,-0.4268726392641463,-0.16166257754745056,-0.035031460008053225,0.2109357300366593,0.478116461345497
-0.2930995341696291,0.033150113553861424,-0.5735315640078141,0.08058898579726682,0.22820585434575463,0.14480012747153423,-0.0437535721099561,-0.023387174602030786,-0.25129409668924907
-0.2930995341696291,-0.01217534545504336,-0.027160030056751407,-0.13824351015901723,0.023669947033487217,-0.10022177942387392,0.020408916537340786,0.34317127313140106,0.2253898712861373
-0.2930995341696291,-0.000699209566606264,0.1857378215701558,0.25277563312902296,0.30211814885223054,0.597000304321091,-0.07336420018312005,-0.16988572651447303,-0.19730665859212096
-0.2930995341696291,-0.40498173487783506,-0.329652424289814,-0.18013815616867496,-0.21132554477759427,-0.1930075669945724,0.27059364258355706,0.2834488356139282,0.21249686085403172
-0.2930995341696291,-0.058012972236783256,0.19903366130972838,0.1986992683886917,0.2695506301086707,0.597000304321091,-0.10821415488721595,-0.09537203195935376,0.3395459850082378
-0.2930995341696291,0.35183492020838986,0.41692870621158157,0.17405891526102782,0.20082377422835518,0.10402025025752419,-0.10565386768648806,0.05619583139156792,-0.0964785505782604
-0.2930995341696291,0.34656439125797306,-0.17355668279247027,-0.06256628450586708,0.00624762912359727,-0.0731676877774078,0.12839044965152493,-0.07249132180188567,-0.1307237727344396
-0.2930995341696291,0.34656439125797306,0.4494587904952933,0.3247930118334272,0.3580376340580459,-0.060086975856918745,-0.2795642649539875,-0.20330510635590981,-0.345279896112218
-0.2930995341696291,0.014663938065588706,0.24216757321560786,-0.09642700974791854,0.02260328409557032,0.3987967256338438,-0.0030085474376921016,-0.08520469565683993,0.11116697633869127
-0.2930995341696291,-0.202315621258262,-0.5326451912407314,0.09453255825496669,0.005218754699981016,0.018631564422138196,0.15452190588333478,0.07330327167367591,0.1256882723670575
-0.2930995341696291,-0.3492888067440595,-0.3751639019841682,-0.5916373717107613,-0.38481325988631143,-0.04699478956944719,0.28410976613292155,0.5555128817425637,0.49521786377967075
-0.2930995341696291,-0.054744408839265714,-0.31510028037182347,0.08306718065509505,0.2020315663329517,-0.06311282440815355,0.06887564743791172,0.13148667806705142,-0.345279896112218
-0.2930995341696291,-0.3344774666062017,-0.3232761785760898,-0.1971315889338885,-0.20616034326698393,-0.07887906740647979,-0.2318125516756698,-0.2059197323970216,0.2286902812161391
-0.2930995341696291,0.08830218866724862,-0.11103801330957162,0.16285298964347256,0.23098994729219982,0.21878091731957044,0.1602281971113108,0.04281293067036526,-0.345279896112218
-0.2930995341696291,0.34656439125797306,0.22101490534781082,0.26368845472962577,0.15009258612242782,0.0002930066708907196,0.2296104317826688,0.1800203495636881,-0.6391642521780003
-0.2930995341696291,0.06907547881794206,-0.18852571196523873,0.19765383980341347,0.1018978704779231,0.08339411236110295,0.3438868627194489,0.006125179658782597,-0.013142054651178493
-0.2930995341696291,0.34656439125797306,0.6735366948578655,0.4452078657985862,0.30448861647946546,-0.028010654285518428,-0.11357119779777429,-0.14181944198696267,0.2346322444698378
-0.2930995341696291,0.34656439125797306,0.2851399060385672,0.1527970476006292,0.2146350017764637,0.0447214764912965,0.19499725454691177,-0.14829053657918706,0.3343545829506109
-0.2930995341696291,-0.15325797022482557,0.37296938647639993,0.23267595432270494,0.14968143143007176,-0.05297292545716443,0.03826579340848197,-0.02748796494654638,-0.345279896112218
-0.2930995341696291,-0.576707968403707,-0.9000072078480683,-0.34516028299055884,0.08610723879322427,-0.10753948655016048,0.044844882345006935,0.3797804668387484,-0.05706242520065804
-0.2930995341696291,0.08934978714339059,0.20585871149412108,0.20075174041885377,-0.044679890543594725,0.055271389661555675,-0.3436979688135249,0.09402666385919488,-0.22938813791592266
-0.2930995341696291,0.34656439125797306,-0.15042934113839015,0.2684409132936345,0.15860594552736765,-0.2024292916336423,0.03514391488347848,0.29845418448687433,0.5637177748288246
-0.2930995341696291,-0.625651994208922,-0.18642464212401227,-0.6581977053507054,-0.4578983327788768,0.07899505494880468,-0.34761177852031344,-0.2676350764076423,-0.13419906187337236
-0.2930995341696291,0.0854261732859013,0.5298255204948142,0.15427669276937006,0.10229826697132786,-0.037576297462797184,-0.5289987951555758,-0.3864108166502993,-0.2926930615743448
-0.2930995341696291,0.34656439125797306,0.5604664660062654,0.2505435322683769,0.2759493252017714,0.09748434424169743,-0.16879842486200905,0.027955707040903204,-0.05289356504377155
-0.2930995341696291,-0.2741378836382713,-0.19682708048892578,-0.10676597332219903,-0.12312868484281861,-0.247482403737614,0.06417001752115963,0.1082650244485894,0.34815712864117887
-0.2930995341696291,0.08099515543587238,-0.14035845317865064,-0.012859286900429983,-0.11750036753864812,0.011830785203184603,-0.3898112552764306,0.10129963093618538,-0.14311299017334056
-0.2930995341696291,-0.04751228482368747,0.015429826726782676,0.1966976501410067,0.008987761452648148,-0.2309422040781351,0.061998473449220305,0.026386340131715303,-0.0011534086464463158
-0.2930995341696291,0.09950028690176548,0.13533418428524455,-0.06264069497526661,-0.11099854433886408,-0.0036945257428074056,0.3468838133041484,0.2994913063523321,0.26310108969065715
-0.2930995341696291,-0.06724209672409295,-0.014391109176847766,-0.14676445207690875,-0.0771075171849564,-0.01807578862775105,-0.1799439074890885,-0.00776858351250301,0.037980205305832584
-0.2930995341696291,0.34656439125797306,0.43738596836101623,0.08811363217301058,0.061263945333254397,0.07186862068920015,-0.1720728126203912,0.0839455792886538,-0.345279896112218
-0.2930995341696291,-0.574794589887508,-0.4488765144495204,-0.6861187098194801,-0.34285466968345013,-0.03878613288020212,0.008724014749990603,-0.09930055807213806,0.22362657888453877
-0.2930995341696291,-0.24932180808993218,0.09376332596191274,-0.13170685298029697,-0.10318082701449452,-0.004356141119113076,-0.1997996032647539,0.017244803871537512,-0.345279896112218
-0.2930995341696291,0.34656439125797306,0.37799030284276225,0.2738990406033698,0.036080343313807106,0.14453640361988515,-0.20961385419412337,-0.046352297145253483,0.04186437314315397
-0.2930995341696291,0.34656439125797306,0.058520174892105654,0.3118116954039862,0.08766596687963546,-0.07669481822180152,0.2480682431645637,-0.1339022838272096,0.08809070479120171
-0.2930995341696291,-0.12554789040034484,0.27585200048043984,0.19977880194136022,0.28692660819216564,-0.10931734043922321,-0.6174375004291096,-0.14490858351618993,-0.1584571518859179
-0.2930995341696291,-0.14038282278383005,0.07354991312162093,-0.28274619213631247,0.06433550277949282,-0.0964712057789697,0.038362297510446876,0.006289129881540652,-0.11541808752004871
-0.2930995341696291,0.34656439125797306,-0.585834897021116,0.21939583179052932,0.14213509580174707,0.0001343147416790452,0.19650428506844164,0.2562719766570531,0.16015092936821587
-0.2930995341696291,0.0333551574493922,-0.08090106615303261,-0.08009304482541665,0.007089301340214186,0.01040137447966827,0.2534296224018958,0.10766457846796676,0.17064306470883345
-0.2930995341696291,0.09467993391733641,0.05753063731620462,-0.19112884124512827,-0.2597915588433656,-0.227846006683825,-0.17059348727185325,-0.2738660579626373,0.06458358471877897
-0.2930995341696291,-0.144390921236416,-0.2299543108583343,-0.10853380197385203,0.005815504884991394,-0.14992744892376525,-0.014623674224484942,-0.1907132156545699,0.12885145122423464
-0.2930995341696291,-0.24549563663429294,-0.5095290082490933,-0.08391645606002548,-0.28563196945115343,-0.12776047572562862,-0.06194197735239632,0.0900427803463195,0.09525848861244521
-0.2930995341696291,-0.3023910611073184,-0.17276462887700986,-0.30588868679451053,-0.05850025381380021,0.597000304321091,-0.02829402750616248,-0.2526748103012033,0.19488315932365433
-0.2930995341696291,-0.05410807806023057,-0.3630388476202844,-0.17443366363638088,-0.3151844523110079,-0.11959254544778049,0.20958175197927784,-0.1547537486317057,0.3897532818280663
-0.2930995341696291,0.34656439125797306,0.17119265961742997,0.1974659949498014,0.04839751807319403,-0.0019987906743578108,0.035612182698485643,-0.1109926173597693,-0.345279896112218
-0.2930995341696291,-0.44411111121372576,-0.4040898541149254,-0.1998890472305896,-0.2580715333467312,-0.041776025659882136,-0.3024159048958001,-0.2891558860187024,-0.15643634077766652
-0.2930995341696291,-0.21583669503042838,-0.21654371209557186,-0.09856084801130952,-0.36704211956221267,-0.18852703992506878,-0.016122695411732064,0.05152308409659931,-0.09544002705637783
-0.2930995341696291,0.34656439125797306,0.13888899177774222,0.042011596446759635,0.04417565229803901,-0.13712615622470634,0.06981612440269347,-0.022433164870625997,-0.16236778750589073
-0.2930995341696291,0.42960217058378425,0.18313836904027322,0.18655802456202958,0.0864658872995698,-0.013078325127331243,-0.044774914664807,0.17961570894703602,0.26345454051528844
-0.2930995341696291,-0.13853425618140242,0.3576087286711477,0.07518843992707624,0.1577713989221579,-0.10116885204906348,-0.4732533524849507,-0.35524905888740993,-0.345279896112218
-0.2930995341696291,0.14336953741648323,0.10736282607018127,0.21399679538266064,0.212099922983568,0.07996823492936142,0.016504640736146672,-0.0467688903046626,-0.345279896112218
-0.2930995341696291,0.20955694627206062,0.2542116971504898,0.005829476988248637,0.16966647308537053,0.055107260399753805,0.021057758448366683,-0.036888753129274345,0.3015354481890122
-0.2930995341696291,0.34656439125797306,-0.289002879542294,0.2625585507028644,0.13957531991538957,0.04678609826670101,0.3247459760616548,0.18095021299125935,0.18167751163620594
-0.2930995341696291,-0.1257561768940365,0.21338765217468472,-0.03339436063932426,-0.09496995578025894,0.11993787889696746,-0.4488356871231186,-0.21786897191139795,-0.345279896112218
-0.2930995341696291,-0.2637820228443673,0.285871723541141,-0.6327766866618014,-0.6598266469263637,-0.1496102431490352,-0.2660063703951618,-0.18303603561210063,-0.345279896112218
-0.2930995341696291,0.34656439125797306,-0.03394722033003907,0.23482955572254582,0.12108218350858503,-0.07394205944467741,0.25114435797147927,-0.039102833928218526,0.3219797939607482
-0.2930995341696291,0.06229439426728245,-0.2066832846236001,0.1350961638077857,0.6317013483521942,0.597000304321091,0.331857115186286,0.29024013014409844,-0.345279896112218
-0.2930995341696291,0.34656439125797306,0.48639463128675825,0.17828374720586113,0.21532025870696012,0.0193789179023638,-0.15208067334617562,0.13918870012979795,-0.16626369640700464
-0.2930995341696291,-0.565078029722583,0.011662494187869953,-0.4918671823805277,-0.4713194311864203,-0.02310788752442881,0.1968791261932399,0.13681883057027852,0.22241485386103016
-0.2930995341696291,0.34656439125797306,0.4019099221247935,0.1728143918100377,0.13561187832495497,0.07668118146882187,0.20003815262315428,0.09394607674780495,0.10283319340444162
-0.2930995341696291,-0.09125490551090712,0.23729626456161246,0.18217328069494926,0.06792544165522205,0.007787941604945195,-0.25449894563681175,0.10618961009376825,-0.345279896112218
-0.2930995341696291,-0.21689263728529615,-0.19099858376258064,-0.022735062954048042,-0.05485852355620016,-0.25555256892022776,0.06627536022044798,-0.05989751323595975,-0.2438465883253153
-0.2930995341696291,0.015991827812615895,-0.09527238053885526,0.031436550415377,-0.05622959201160021,0.05018145847018843,-0.03699185887145667,-0.15124447680194664,0.06583674085617668
-0.2930995341696291,0.34656439125797306,0.26599318527669613,0.36542747357690936,0.14142743526108703,-0.03601479872317252,0.34266221749435155,0.09094320830696351,-0.06839956571292342
-0.2930995341696291,0.11840361770439703,0.08193986454572495,0.37976947613557743,0.17894232622135034,0.09345553364356286,0.06505848990056617,-0.10375449001463015,0.2001308825440654
-0.2930995341696291,-0.1717315254868824,-0.49932454530076537,-0.1688109232246872,-0.005525235715341386,0.010469793081350235,0.3609762281659716,0.46233647565028124,0.5388939013652554
-0.2930995341696291,-0.3505443052955088,-0.0904488485059338,-0.2901519793676616,-0.15822068704126732,-0.001242898047808538,-0.03601399988642987,0.05802488037580091,-0.49984756381175777
-0.2930995341696291,-0.027596627277282057,-0.25405548860756594,-0.17486122365383366,-0.14697996895465634,0.13969671013265733,0.1354126888128645,-0.2222179545284949,-0.345279896112218
-0.2930995341696291,-0.026437247108013352,0.11291288150394443,-0.05502292060146705,-0.05002183161108518,0.10916710162945559,-0.5482356560121163,-0.17889592778613242,-0.345279896112218
-0.2930995341696291,0.23718013874730637,0.03623779812340445,0.2159423923910283,0.13481077674614095,-0.24574809737241887,0.4986458339442817,0.1427604590915247,0.1784548763135772
-0.2930995341696291,0.07270068191252795,-0.4702438676198364,0.1849378673601506,0.0925185976707249,-0.20020696468534643,0.1457085974028174,0.20903277024144204,0.5817588166577257
